@Relation CRoyale

@Attribute Card String
@Attribute Type1 String
@Attribute Cost NUMERIC
@Attribute NumberOf NUMERIC
@Attribute Health NUMERIC
@Attribute Damage NUMERIC
@Attribute Damage/Seconds NUMERIC
@Attribute Air_Damage NUMERIC
@Attribute Tower_Damage NUMERIC
@Attribute Against String

@Data
Arqueras,Salpicadura,3,2,254,86,71,0,0,Salpicadura
Arqueras,Hechizos_Fuertes,3,2,254,86,71,0,0,Salpicadura
Arqueras,Cuerpo,3,2,254,86,71,0,0,Salpicadura
Arqueras,Resistentes,3,2,254,86,71,0,0,Salpicadura
Baby_Dragon,Salpicadura,4,1,968,121,75,0,0,Salpicadura
Baby_Dragon,EstructurasDirectAtack,4,1,968,121,75,0,0,Salpicadura
Baby_Dragon,Salpicadura,4,1,968,121,75,0,0,TropasCantidadAire
Baby_Dragon,EstructurasDirectAtack,4,1,968,121,75,0,0,TropasCantidadAire
Barbaros,Salpicadura,5,4,636,159,106,0,0,TropasCantidadTerrestres
Barbaros,Hechizos_Fuertes,5,4,636,159,106,0,0,TropasCantidadTerrestres
Barbaros,Salpicadura,5,4,636,159,106,0,0,TerrestresAtack
Barbaros,Hechizos_Fuertes,5,4,636,159,106,0,0,TerrestresAtack
Bola_de_Fuego,NONE,4,1,0,0,0,572,229,Hechizos_Fuertes
Bombardero,Salpicadura,3,1,311,271,142,0,0,Salpicadura
Bombardero,TropasCantidadAire,3,1,311,271,142,0,0,Salpicadura
Bombardero,Hechizos_Fuertes,3,1,311,271,142,0,0,Salpicadura
Bombardero,Resistentes,3,1,311,271,142,0,0,Salpicadura
Bombardero,Salpicadura,3,1,311,271,142,0,0,AtackEstructuras
Bombardero,TropasCantidadAire,3,1,311,271,142,0,0,AtackEstructuras
Bombardero,Hechizos_Fuertes,3,1,311,271,142,0,0,AtackEstructuras
Bombardero,Resistentes,3,1,311,271,142,0,0,AtackEstructuras
Caballero,TerrestresAtack,3,1,1399,159,144,0,0,Cuerpo
Caballero,Cuerpo,3,1,1399,159,144,0,0,Cuerpo
Caballero,Salpicadura,3,1,1399,159,144,0,0,Cuerpo
Caballero,TerrestresAtack,3,1,1399,159,144,0,0,Resistentes
Caballero,Cuerpo,3,1,1399,159,144,0,0,Resistentes
Caballero,Salpicadura,3,1,1399,159,144,0,0,Resistentes
Canon,Hechizos_Fuertes,3,1,742,127,158,0,0,EstructurasDirectAtack
