@relation 'CRoyale-weka.filters.unsupervised.attribute.StringToNominal-R1,2,10-weka.filters.unsupervised.attribute.Remove-R4,7-9'

@attribute Card {Arqueras,Baby_Dragon,Barbaros,Bola_de_Fuego,Bombardero,Caballero,Canon,Choza_de_Barbaros,Cohete,Descarga,Duendes,Duendes_Lanza,Esbirrios,Espiritus_de_Fuego,Espiritus_de_Hielo,Esqueletos,Flechas,Gigante,Gigante_Noble,Globo_Bombastico,Golem_de_Hielo,Horda_de_Esbirrios,Horno,Mago,Mini_PEKKA,Montapuercos,Mortero,Mosquetera,Murcielagos,Recolector_de_Elixir,Torre_Bombardera,Torre_Infernal,Torre_Tesla,Valquiria}
@attribute Type1 {Salpicadura,Hechizos_Fuertes,Cuerpo,Resistentes,EstructurasDirectAtack,NONE,TropasCantidadAire,TerrestresAtack,AtackEstructuras,Hechizos_Debiles,TropasCantidadTerrestres}
@attribute Cost numeric
@attribute Health numeric
@attribute Damage numeric
@attribute Against {Salpicadura,TropasCantidadAire,TropasCantidadTerrestres,TerrestresAtack,Hechizos_Fuertes,AtackEstructuras,Cuerpo,Resistentes,EstructurasDirectAtack,Hechizos_Debiles,Defensivo}

@data
Arqueras,Salpicadura,3,254,86,Salpicadura
Arqueras,Hechizos_Fuertes,3,254,86,Salpicadura
Arqueras,Cuerpo,3,254,86,Salpicadura
Arqueras,Resistentes,3,254,86,Salpicadura
Baby_Dragon,Salpicadura,4,968,121,Salpicadura
Baby_Dragon,EstructurasDirectAtack,4,968,121,Salpicadura
Baby_Dragon,Salpicadura,4,968,121,TropasCantidadAire
Baby_Dragon,EstructurasDirectAtack,4,968,121,TropasCantidadAire
Barbaros,Salpicadura,5,636,159,TropasCantidadTerrestres
Barbaros,Hechizos_Fuertes,5,636,159,TropasCantidadTerrestres
Barbaros,Salpicadura,5,636,159,TerrestresAtack
Barbaros,Hechizos_Fuertes,5,636,159,TerrestresAtack
Bola_de_Fuego,NONE,4,0,0,Hechizos_Fuertes
Bombardero,Salpicadura,3,311,271,Salpicadura
Bombardero,TropasCantidadAire,3,311,271,Salpicadura
Bombardero,Hechizos_Fuertes,3,311,271,Salpicadura
Bombardero,Resistentes,3,311,271,Salpicadura
Bombardero,Salpicadura,3,311,271,AtackEstructuras
Bombardero,TropasCantidadAire,3,311,271,AtackEstructuras
Bombardero,Hechizos_Fuertes,3,311,271,AtackEstructuras
Bombardero,Resistentes,3,311,271,AtackEstructuras
Caballero,TerrestresAtack,3,1399,159,Cuerpo
Caballero,Cuerpo,3,1399,159,Cuerpo
Caballero,Salpicadura,3,1399,159,Cuerpo
Caballero,TerrestresAtack,3,1399,159,Resistentes
Caballero,Cuerpo,3,1399,159,Resistentes
Caballero,Salpicadura,3,1399,159,Resistentes
Canon,Hechizos_Fuertes,3,742,127,EstructurasDirectAtack
Canon,AtackEstructuras,3,742,127,EstructurasDirectAtack
Canon,Salpicadura,3,742,127,EstructurasDirectAtack
Canon,Hechizos_Fuertes,3,742,127,Salpicadura
Canon,AtackEstructuras,3,742,127,Salpicadura
Canon,Salpicadura,3,742,127,Salpicadura
Choza_de_Barbaros,Salpicadura,7,1936,0,TerrestresAtack
Choza_de_Barbaros,Hechizos_Fuertes,7,1936,0,TerrestresAtack
Choza_de_Barbaros,TropasCantidadAire,7,1936,0,TerrestresAtack
Choza_de_Barbaros,AtackEstructuras,7,1936,0,TerrestresAtack
